AcceptedSpecies
Abaeis nicippe
Cacyreus marshalli
Cadra calidella
Cadra cautella
Cadra figulilella
Calephelis virginiensis
Callopistria floridensis
Callopistria jamaicensis
Callopistria maillardi
Calophasia lunula
Caloptilia alnivorella
Caloptilia azaleella
Caloptilia coruscans
Caloptilia negundella
Caloptilia roscipennella
Gracillaria syringella
Caloptilia triadicae
Calpodes ethlius
Cameraria gaultheriella
Cameraria ohridella
Caphys biliniata
Capua intractana
Caradrina clavipalpis
Caradrina kadenii
Caradrina morpheus
Carcina quercana
Carmenta mimosa
Carpatolechia fugitivella
Carposina autologa
Carposina neurophorella
Carposina sasakii
Catocala fraxini
Catopsilia pyranthe
Cebysa leucotelus
Cephonodes hylas
Cerapteryx graminis
Chabula acamasalis
Chamaesphecia mysiniformis
Garella nilotica
Dasystoma salicella
Chiasmia aestimaria
Chilo agamemnon
Chilo partellus
Chilo sacchariphagus
Chilo suppressalis
Chloridea virescens
Chloroclystis filata
Chloroclystis insigillata
Chloroclystis latifasciata
Chloroclystis pyrrholopha
Pasiphila rectangulata
Chlumetia brevisigna
Choreutis pariana
Choreutis sexfasciella
Choristoneura freemani
Choristoneura occidentalis
Choristoneura rosaceana
Chrysaster hagicola
Chrysaster ostensackenella
Chrysoclista linneela
Chrysodeixis acuta
Chrysodeixis chalcites
Chrysodeixis eriosoma
Chrysodeixis includens
Chrysoesthia drurella
Chrysoesthia sexguttella
Citripestis eutraphera
Clavigesta sylvestrana
Clepsis consimilana
Clepsis peritana
Clepsis spectrana
Clossiana dia
Cnaemidophorus rhododactyla
Cnaphalocrocis medinalis
Cnaphalocrocis poeyalis
Cnaphalocrocis trapezalis
Cnephasia asseclana
Cnephasia longana
Cnephasia stephensiana
Monema flavescens
Cochylis atricapitana
Coenonympha iphis
Coleophora alcyonipennella
Coleophora anatipennella
Coleophora badiipennella
Coleophora colutella
Coleophora coracipennella
Coleophora texanella
Coleophora deauratella
Coleophora frischella
Coleophora serratella
Coleophora klimeschiella
Coleophora laricella
Coleophora limosipennella
Coleophora mayrella
Coleophora parthenica
Coleophora spinella
Coleophora spiraeella
Coleophora striatipennella
Coleophora trifolii
Coleophora versurella
Coleotechnites piceaella
Comostolopsis germana
Comotia torsicornis
Condica dolorosa
Condica illecta
Condica punctifera
Conistra rubiginosa
Conogethes punctiferalis
Conopomorpha cramerella
Conopomorpha litchiella
Conopomorpha sinensis
Copaxa lavendera
Coptodisca juglandiella
Coptodisca lucifluella
Coscinoptycha improbana
Cosmodes elegans
Cosmopterix attenuatella
Cosmopterix feminella
Crambus leucoschalis
Crasimorpha infuscata
Cremastobombycia lantanella
Crocidolomia pavonana
Crocidophora butleri
Crocidosema aporema
Crocidosema lantana
Crocidosema plebejana
Crocidosema synneurota
Cryphia algae
Crypsithyrodes concolorella
Cryptaspasma lugubris
Cryptoblabes adoceta
Cryptoblabes gnidiella
Cryptographis nitidalis
Cryptophlebia illepida
Thaumatotibia leucotreta
Cryptophlebia ombrodelta
Cryptophlebia peltastica
Ctenoplusia albostriata
Ctenoplusia limbirena
Cucullia umbratica
Culladia cuneiferellus
Cupha erymanthis
Elkalyce argiades
Curetis acuta
Cyclargus ammon
Cyclophora nanaria
Cyclophora obstataria
Cydalima perspectalis
Cydia coniferana
Cydia saltitans
Cydia grunertiana
Cydia illutana
Cydia interscindana
Cydia medicaginis
Cydia millenniana
Grapholita molesta
Cydia nigricana
Cydia pactolana
Cydia pomonella
Cydia splendana
Cydia strobilella
Cydia succedana
Cymolomia hartigiana
Vanessa cardui
Callima formosella
Dahlica lichenella
Dahlica triquetrella
Danaus chrysippus
Danaus genutia
Danaus plexippus
Daphnis nerii
Oxyplax pallivitta
Dasypodia cymatodes
Dasypodia selenophora
Dasyses incrustata
Davara caricae
Deanolis sublimbalis
Deilephila elpenor
Dendrolimus pini
Dendrolimus punctata
Dendrolimus sibiricus
Dendrolimus superans
Depressaria apiella
Depressaria depressana
Depressaria discipunctella
Depressaria radiella
Deudorix livia
Diacrotricha fasciola
Dialectica scalariella
Diaphania costata
Diaphania hyalinata
Diaphania indica
Diastema tigris
Diatraea grandiosella
Diatraea saccharalis
Syndemis cedricola
Dichelia histrionana
Dichomeris acuminatus
Dichomeris aenigmatica
Dichomeris heriguronis
Dichomeris marginella
Dichomeris picrocarpa
Dichrorampha acuminatana
Dichrorampha aeratana
Dichrorampha montanana
Dichrorampha petiverella
Digrammia rippertaria
Dinumma deponens
Diparopsis castanea
Diplopseustis perieresalis
Disclisioprocta stellata
Ditula angustiorana
Doloessa viridis
Schoenobius niloticus
Dryadaula advena
Dryadaula pactolia
Dryadaula terpsichorella
Dryobotodes tenebrosa
Dudua aprobola
Duponchelia fovealis
Dypterygia punctirena
Dyspessa ulula
Eana argentana
Earias ansorgei
Earias biplaga
Earias cupreoviridis
Earias insulana
Earias vernana
Earias vittella
Eccopisa effractella
Mimudea puralis
Ectaga garcia
Ectoedemia heringella
Ectomyelois ceratoniae
Elachista saccharella
Elaphria deltoides
Elaphria nucicolora
Elasmopalpus lignosella
Eldana saccharina
Thecla angelia
Elophila difflualis
Nymphula manilensis
Elophila melagynalis
Elophila nymphaeata
Elophila obliteralis
Elophila responsalis
Emmelina devriesi
Empyreuma affinis
Empyreuma pugione
Enarmonia formosana
Endothenia quadrimaculana
Endrosis sarcitrella
Ennomos alniaria
Diatraea rufescens
Eoreuma loftini
Epermenia aequidentellus
Ephestia elutella
Ephestiodes gilvescentella
Ephestiopsis oenobarella
Notocelia cynosbatella
Epiblema sticticana
Epiblema strenuana
Epicampoptera marantica
Epichoristodes acerbella
Epidromia pannosa
Epimorius testaceellus
Epinotia abbreviana
Epinotia algeriensis
Epinotia cedricida
Epinotia fraternana
Epinotia celtisana
Epinotia nanana
Epinotia nigricana
Epinotia salicicolana
Epinotia subsequana
Epiphyas postvittana
Episimus transferrana
Episimus unguiculus
Erannis defoliaria
Schiffermuelleria amasiella
Erechthias capnitis
Erechthias flavistriata
Erechthias kerri
Erechthias minuscula
Erechthias pelotricha
Erechthias penicillata
Erechthias simulans
Erechthias zebrina
Erinnyis ello
Erionota thrax
Erionota torus
Esperia sulphurella
Etainia sericopeza
Ethmia bipunctella
Ethmia nigroapicella
Ethmia submissa
Ethmia terminella
Etiella zinckenella
Euacidalia brownsvillea
Eublemma accedens
Eublemma anachoresis
Eublemma recta
Eublemma scitula
Euchromia lethe
Euchromius ocellea
Euclasta gigantalis
Euclasta varii
Eucosma cana
Ancylis impatiens
Eucosmomorpha albersana
Eudocima phalonia
Eudocima jordani
Eudocima salaminia
Eudocima tyrannus
Eulepidotis striaepuncta
Eulithis mellinata
Eulithis prunata
Eumenodora tetrachorda
Eumeta variegatus
Eupalamides cyparissias
Eupithecia carpophagata
Eupithecia intricata
Eupithecia lariciata
Eupithecia phoeniceata
Eupithecia pulchellata
Eupithecia pusillata
Eupithecia sinuosaria
Eupithecia ultimaria
Euplexia lucipara
Euploea core
Euploea leucostictos
Euploea mulciber
Eupoecilia ambiguella
Euproctis chrysorrhoea
Euproctis fraterna
Eurema blanda
Eurranthis plummistaria
Euscirrhopterus poeyi
Eustixia pupula
Eutelia adulatrix
Eutorna phaulocosma
Euzophera osseatella
Euzophera pinguis
Euzopherodes vapidella
Evergestis aenealis
Evergestis pallidata
Exelastis atomosa
Exelastis montichristi
Exelastis pumilio
Exoteleia dodecella
Feltia subgothica
Feltia subterranea
Fomoria septembrella
Fundella argentina
Galleria mellonella
Galtara extensa
Garella musculana
Gauna aegusalis
Gelechia sabinellus
Gelechia senticetella
Gisilia stereodoxa
Glaucopsyche alexis
Glyphipterix simpliciella
Glyphodes onychinalis
Glyphodes pyloalis
Gonepteryx rhamni
Gonodonta bidens
Parectopa alysidota
Grammodes geometrica
Grammodes stolida
Grapholita delineana
Grapholita funebrana
Grapholita inopinata
Grapholita mesosocia
Grapholita packardi
Grapholita prunivora
Gymnandrosoma aurantianum
Gymnoscelis rufifasciata
Gypsonoma aceriana
Hadena compta
Hamadryas februa
Haplochrois theae
Haplotinea ditella
Haplotinea insectella
Haritalodes derogata
Hasora badra
Hecatera dysodea
Hedya nubiferana
Hedya salicella
Helcystogramma convolvuli
Heliconius erato
Helicoverpa armigera
Helicoverpa assulta
Helicoverpa titicacae
Helicoverpa zea
Heliozela catoptrias
Hellinsia balanotes
Hellinsia beneficus
Hellula phidilealis
Hellula undalis
Hemiargus ceraunus
Hemiargus ramon
Hemithea aestivaria
Heringocrania unimaculella
Herpetogramma basalis
Herpetogramma bipunctalis
Herpetogramma licarsisalis
Herpetogramma phaeopteralis
Heterogenea asella
Heteropterus morpheus
Hileithia decostalis
Hipparchia statilinus
Hippotion celerio
Hippotion rosetta
Pyrausta testalis
Hofmannophila pseudospretella
Homadaula anisocentra
Homoeosoma stenotea
Homoeographa lanceolella
Homona coffearia
Hyalophora euryalus
Hyblaea puera
Hydraecia micacea
Hylephila phyleus
Hyles euphorbiae
Hyles lineata
Hymenia perspectalis
Hypena jussalis
Hypena commixtalis
Hypena opulenta
Hypena strigatus
Hypena subidalis
Hyperectis dioctias
Hyphantria cunea
Hypocala deflorata
Hypolimnas bolina
Hypolimnas misippus
Hyponephele lycaon
Hypsopygia mauritialis
Hypsipyla grandella
Hypsopygia costalis
Idaea bonifata
Idaea dimidiata
Idaea inquinata
Imma mylias
Iphiclides podalirius
Ischyja manlia
Isophrictis striatella
Isotenes miserana
Periploca orichalcella
Ithome lassula
Junonia atlites
Keiferia lycopersicella
Ketapangia leucochorda
Kirinia roxelana
Korscheltellus lupulina
Chaliopsis junodi
Ladoga camilla
Lampides boeticus
Incurvaria rubiella
Lamprosema chagosalis
Lantanophaga pusillidactylus
Lateroligia ophiogramma
Lebeda nobilis
Lecithocera micromela
Lepidoscia heliochares
Lepidoscia protorna
Lepidotarphius perornatella
Leptocroca sanguinolenta
Leptosia nina
Leucania comma
Leucania inconspicua
Leucania obsoleta
Leucania loreyi
Leucania stenographa
Leucania lobrega
Mythimna scottii
Leucania striata
Leucinodes orbonalis
Leuciris fimbriaria
Athetis nonagrica
Leucoma salicis
Leucoptera caffeina
Leucoptera coffeella
Leucoptera coma
Leucoptera laburnella
Leucoptera malifoliella
Leucoptera meyricki
Leucoptera sinuella
Leucoptera spartifoliella
Limenitis populi
Lindera tessellatella
Lineodes elcodes
Lineodes integra
Lineodes ochrea
Lioptilodes albistriolatus
Lioptilodes parvus
Lipographis subosseella
Lithophane leautieri
Litoprosopus haitiensis
Lobesia botrana
Lobesiodes euphorbiana
Lorita baccharivora
Lorita scarificata
Loryma recusata
Loxomorpha flavidissimalis
Loxostege sticticalis
Lozotaenia cedrivora
Luthrodes pandava
Lycaena dispar
Lycomorphodes sordida
Lycophotia porphyrea
Lymantria dispar
Lymantria mathura
Lymantria monacha
Macaldenia palumba
Macaria abydata
Macaria liturata
Digrammia pallidata
Macaria wauaria
Macarostola ida
Macristis geminipunctalis
Macroglossum pyrrhosticta
Macrorrhinia endonephele
Macrosaccus robiniella
Malacosoma disstria
Malacosoma parallela
Maliarpha separatella
Mamestra brassicae
Manbuta pyraliformis
Manduca quinquemaculatus
Maniola jurtina
Manoba brunellus
Marasmia trapezalis
Martyringa xeraula
Maruca vitrata
Megalographa biloba
Megalorhipida leucodactylus
Meganola brunellus
Megastes grandalis
Megastes pusialis
Melanitis leda
Melipotis indomita
Melitara dentata
Melitara junctolineella
Melitara prodenialis
Melittia oedipus
Merophyas divulsana
Mesapamea secalis
Mesophleps adustipennis
Mesophleps palpigera
Metzneria lappella
Metzneria paucipunctella
Mirificarma eburnella
Mocis cubana
Mompha epilobiella
Mompha locupletella
Mompha raschkiella
Mompha subbistrigella
Mompha terminella
Mompha trithalama
Monopis argillacea
Monopis crocicapitella
Monopis ethelella
Monopis obviella
Monopis longella
Monopis meliorella
Monopis monachella
Moodna bisinuella
Morosaphycita oculiferella
Mouralia tinctoides
Musotima nitidalis
Musotima ochropteralis
Mussidia nigrivenella
Myrlaea marmorata
Mythimna languida
Mythimna separata
Mythimna unipuncta
Nacoleia charesalis
Nacoleia octasema
Nemapogon cloacella
Nemapogon gerasimovi
Nemapogon granella
Nemapogon picarella
Nemapogon variatella
Neogalea sunia
Neoleucinodes elegantalis
Neoleucinodes torvis
Neomariania rebeli
Neomusotima conspurcatalis
Neotuerta hemicycla
Neurostrota gunniella
Neurothaumasia ankerella
Niditinea fuscella
Niphograpta albiguttalis
Niphonyx segregata
Noctua comes
Noctua janthina
Noctua pronuba
Nola cucullatella
Nomophila noctuella
Notocelia rosaecolana
Nyctemera amicus
Aglais io
Parapoynx crisonalis
Parapoynx fluctuosalis
Ochsenheimeria vacculella
Ocnerostoma piniariella
Ocrasa nostralis
Oecia oecophila
Oecophora bractella
Oegoconia caradjai
Oegoconia quadripuncta
Oiketicus kirbyi
Oinophila v-flava
Oligia latruncula
Oligia strigilis
Oligostigma polydectalis
Omiodes diemenalis
Omiodes indicata
Omphisa anastomosalis
Operophtera brumata
Ophiusa disjungens
Ophiusa tirhaca
Ophiusa trapezium
Opisina arenosella
Opogona aurisquamosa
Opogona comptella
Opogona omoscopa
Opogona purpuriella
Opogona sacchari
Opsitycha squalidella
Oraesia emarginata
Oraesia excavata
Orgyia antiqua
Orgyia leucostigma
Orgyia pseudotsugata
Clethrogyna turbata
Ornativalva erubescens
Salbia haemorrhoidalis
Orthotaenia undulana
Ostrinia furnacalis
Ostrinia nubilalis
Oxyodes scrobiculata
Paectes arcigera
Paectes lunodes
Palpita flegia
Palpita persimilis
Palpita vitrealis
Pandemis cerasana
Pandemis heparana
Pandesma anysa
Pantydia sparsa
Papilio indra
Papilio demodocus
Papilio demoleus
Papilio helenus
Papilio polytes
Papilio xuthus
Paracorsia repandalis
Paranthrene tabaniformis
Parantica aglea
Parapediasia teterellus
Parapoynx bilinealis
Parapoynx diminutalis
Parapoynx obscuralis
Parapoynx polydectalis
Parapoynx stagnalis
Pararge aegeria
Parasa lepida
Parasa vivida
Parascotia fuliginaria
Paraswammerdamia albicapitella
Paraswammerdamia lutarea
Pardasena virgulana
Parectopa robiniella
Pareuchaetes insulata
Pareuchaetes pseudoinsulata
Parochmastis hilderi
Paysandisia archon
Pectinophora gossypiella
Pectinophora fusculella
Pempelia genistella
Penicillaria jocosatrix
Pennisetia hylaeiformis
Pennisetia marginatum
Peribatodes perversaria
Pericyma cruegeri
Peridroma saucia
Perittia herrichiella
Perittia lonicerae
Perixera illepidaria
Perizoma alchemillata
Petrochroa dimorpha
Phalaenoides glycinae
Phereoeca allutella
Phereoeca praecox
Philobota chionoptera
Phobetron hipparchia
Phoebis agarithe
Phrissogonus laticostata
Phtheochroa pulvillana
Phthorimaea absoluta
Phthorimaea operculella
Phycita diaphana
Phyllocnistis citrella
Phyllocnistis vitegenella
Phyllonorycter blancardella
Phyllonorycter emberizaepenella
Phyllonorycter geniculella
Phyllonorycter issikii
Phyllonorycter joannisi
Phyllonorycter leucographella
Phyllonorycter medicaginella
Phyllonorycter mespilella
Phyllonorycter messaniella
Phyllonorycter platani
Phyllonorycter strigulatella
Phyllonorycter trifasciella
Physula albipunctilla
Pieris brassicae
Pieris canidia
Pieris rapae
Piletocera bufalis
Pilocrocis ramentalis
Pimelephila ghesquierei
Platyedra subcinerea
Platynota flavedana
Platynota idaeusalis
Platynota rostrana
Platynota stultana
Platyptilia isodactylus
Plesiomorpha flaviceps
Pleuroprucha asthenaria
Plodia interpunctella
Plutella porrectella
Plutella xylostella
Polydesma boarmoides
Polydesma umbricola
Polyommatus icarus
Cyaniris semiargus
Polysoma eumetalla
Acontia exigua
Pontia daplidice
Porphyrosela hardenbergiella
Porphyrosela minuta
Praeacedes atomosella
Prays citri
Prays endocarpa
Prays fraxinella
Prays nephelomima
Prays oleae
Prays peregrina
Prepona laertes
Promalactis suzukiella
Sinica sinica
Pseudocoremia suavis
Acontia margaritata
Pseudopyrausta acutangulalis
Pseudopyrausta santatalis
Psilogramma increta
Psilogramma menephron
Psyche casta
Psychoides filicivora
Pterolonche inspersa
Ptichodis immunis
Pygospila tyres
Pyralis farinalis
Pyralis manihotalis
Pyramidobela angelarum
Pyrausta inornatalis
Pyrausta panopealis
Pyrausta perelegans
Pyropteron doryliformis
Pyrrharctia isabella
Rapala manea
Recurvaria nanella
Mocis conveniens
Rhectocraspeda periusalis
Rhizedra lutosa
Rhopobota naevana
Rhyacionia buoliana
Rhynchopalpus brunella
Ribua innoxia
Rothschildia orizaba
Rusicada privata
Samea ecclesialis
Samea multiplicalis
Sameodes cancellalis
Samia cynthia
Sarisophora leucoscia
Saturnia japonica
Saturnia pyri
Scardia amurensis
Sceliodes laisalis
Schreckensteinia festaliella
Sciota adelphella
Sciota marmorata
Scirpophaga incertulas
Sclerocona acutella
Scopula personata
Scorylus cubensis
Scrobipalpa aptatella
Scrobipalpa atriplicella
Scrobipalpa obsoletella
Scrobipalpa ocellatella
Scythris buszkoi
Scythris limbella
Scythris sinensis
Scythropiodes issikii
Sedina buettneri
Selania leplastriana
Chiasmia hebesata
Sericinus montela
Serrodes mediopallens
Sesamia calamistis
Sesamia cretica
Sesamia inferens
Sesamia nonagrioides
Sesamia uniformis
Sesia apiformis
Setomorpha rutella
Simplicia cornicalis
Sisyracera inabsconsalis
Sitochroa palealis
Sitotroga cerealella
Sparganothis pilleriana
Spatalia argentina
Sphacelodes vulneraria
Sphecodina caudata
Sphenarches anisodactylus
Sphenarches caffer
Sphinx pinastri
Sphyrelata amotella
Spilonota laricana
Spilonota ocellana
Spodoptera androgea
Spodoptera cilium
Spodoptera dolichos
Spodoptera eridania
Spodoptera exempta
Spodoptera exigua
Spodoptera frugiperda
Spodoptera littoralis
Spodoptera litura
Spodoptera mauritia
Spodoptera ornithogalli
Spodoptera praefica
Spoladea recurvalis
Acontia margana
Statherotis discana
Stathmopoda auriferella
Stathmopoda cephalaea
Stathmopoda melanochra
Stegasta basqueella
Stegommata leptomitella
Stegommata sulfuratella
Stenolechia bathrodyas
Stenoma catenifer
Stenoptilia millieridactylus
Stenoptilia zophodactylus
Stenoptilodes brevipennis
Stenoptilodes littoralis
Stenoptilodes taprobanes
Stericta carbonalis
Stictoptera cucullioides
Stictoptera poecilosoma
Stigmella anomalella
Stigmella atricapitella
Stigmella aurella
Stigmella centifoliella
Stigmella microtheriella
Stigmella minusculella
Stigmella multispicata
Stigmella oxyacanthella
Stigmella pyri
Stigmella speciosa
Stigmella suberivora
Stoeberhinus testaceus
Stomphastis thraustica
Strepsicrates infensa
Strepsicrates macropetana
Strepsicrates semicanella
Strepsicrates smithiana
Striacosta albicosta
Strymon bazochii
Thecla limenia
Thecla megarus
Stylopalpia luniferella
Suastus gremius
Susumia exigua
Swammerdamia pyrella
Symbrenthia hypselis
Symmetrischema capsica
Symmetrischema costaricanum
Symmetrischema striatella
Symmetrischema tangolias
Symmoca signatella
Synanthedon andrenaeformis
Synanthedon myopaeformis
Synanthedon tipuliformis
Aproaerema polychromella
Syngamia florella
Syngrapha interrogationis
Syntomeida epilais
Tachystola acroxantha
Tachystola hemisema
Targalla delatrix
Tathorhynchus exsiccata
Tebenna micalis
Tecia solanivora
Teia anartoides
Castnia licus
Terastia meticulosalis
Terastia subjectalis
Thaumetopoea pityocampa
Thaumetopoea processionea
Thera britannica
Thera cupressata
Thera juniperata
Theresimima ampellophaga
Theretra latreillii
Theretra nessus
Thessalia theona
Thymelicus lineola
Thymelicus sylvestris
Thyraylia nana
Thyrinteina arnobia
Thysanoplusia orichalcea
Tinea columbariella
Tinea dubiella
Tinea flavescentella
Tinea murariella
Tinea pallescentella
Tinea pellionella
Tinea translucens
Tineola bisselliella
Microsphecia tineiformis
Tiracola plagiata
Tmolus echion
Tongeia filicaudis
Araeomolis nigripuncta
Trachylepidia fructicassiella
Trachypepla indolescens
Triaxomera parasitella
Trichophaga mormopis
Trichophaga tapetzella
Trichoplusia ni
Vittaplusia vittata
Trilocha varians
Trissodoris honorariella
Tucumania tapiacola
Typhonia melana
Tyria jacobaeae
Tyta luctuosa
Unadilla maturella
Uraba lugens
Urbanus dorantes
Uresiphita polygonalis
Uresiphita ornithopteralis
Usingeriessa onyxalis
Utetheisa ornatrix
Vanessa atalanta
Vanessa carye
Vanessa virginiensis
Vitula biviella
Vitula edmandsii
Wheeleria spilodactylus
Xestia c-nigrum
Xestia xanthographa
Xubida infusellus
Xylesthia pruniramiella
Xylophanes ploetzi
Xystrologa grenadella
Yponomeuta cagnagellus
Yponomeuta padella
Yponomeuta plumbella
Ypsolopha dentella
Ypsolophus ustella
Zebronia phenice
Zeiraphera griseana
Zelleria oleastrella
Zeuzera pyrina
Zizina otis
Zizula hylax
Zomariana doxasticana
Zophodia convolutella
Zophodia lucidalis
Zygaena orana
Chamaesphecia crassicornis
Aphthonetus triaula
Assara albicostalis
Caloptilia mabaella
Earias roseifera
Elachista synethes
Eudocima materna
Eudonia psammitis
Helicoverpa punctigera
Pyroderces aellotricha
Sceliodes cordalis
Sesia siningensis
Spulerina isonoma
Tirathaba rufivena
