ReferenceID,BibliographicReference,ReferenceYear
REF17,"""Aldryhim Y. (2008). Greater Date Moth Arenipses sabella Hmps. (Lepidoptera: Pyralidae). In: Capinera J.L. (eds) Encyclopedia of Entomology. Springer Dordrecht. pp 1716-1717""",2008
REF18,"""Ale B. et al. (2011). Host plant selection by Crocidolomia pavonana F. (Lepidoptera: Crambidae): effect of herbivory and adult experience. The 6th International Workshop on Management of the Diamondback Moth and Other Crucifer Insect Pests. 70-75""",2011
REF19,"""Alipanah H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152""",2009
REF20,"""Alipanah H. et al. (2018). Taxonomic study of the genus Evergestis Hubner 1825 (Lepidoptera: Crambidae: Glaphyriinae) in Iran with description of a new species. Zootaxa. 4420(1): 1-33""",2018
REF21,"""Alipanah H. et al. (2021). Cossidae (Lepidoptera) of Iran: a review with description of two new species. Zootaxa 5062(1) 1-100""",2021
REF22,"""Alipanah H. Gielis C. (2010). Notes on the tribes Platyptiliini and Exelastini from Iran (Lepidoptera: Pterophoridae). SHILAP Revista de Lepidopterologia. 38(149): 57-63""",2010
REF23,"""Allyson S. (1980). Last-instar larva of the gooseberry fruitworm Zophodia convolutella (Lepidoptera: Pyralidae: Phycitinae). The Canadian Entomologist. 112(1): 43-45""",1980
REF24,"""Almi A. et al. (2018). Appearance of Virachola livia (Klug 1834) (Lepidoptera: Lycaenidae) and Study of Some Biological Parameters in and Arid Region of Algeria. Ciencia e Tecnica Vitivinicola. 33(10): 85-96""",2018
REF25,"""Amer A. (2013). Catocalinae Of Egypt (Lepidoptera Noctuidae). Al-Azhar Bulletin Of Science. 24(1-C): 1-16""",2013
REF26,"""Amer A. et al. (2018). Review of subfamily: Xyleninae of Egypt (Lepidoptera Noctuidae). Egyptian Academic Journal of Biological Sciences. 11(5): 103-125""",2018
REF27,"""Andersen J. et al. (2017). Postglacial recolonization shaped the genetic diversity of the winter moth (Operophtera brumata) in Europe. Ecology and Evolution. 7: 3312-3323""",2017
REF28,"""Anderson S. et al. (2015). New distribution records of the Star Fruit Flower Moth (Diacrotricha fasciola)(Lepidoptera: Pterophoridae) in Australia and Timor-Leste. Northern Territory Naturalist. 26: 76-84""",2015
REF29,"""Andreas J. et al. (2022). Common Gorse Biocontrol Agents: History and Ecology in North America. In: R. Winston Ed. Biological Control of Weeds in North America. North American Invasive Species Management Association Milwaukee WI. NAISMA-BCW-2022-12-GORSE-A""",2022
REF30,"""Anikin V. Knyazev S. (2024). Additions to the fauna of casebearer moths (Lepidoptera Coleophoridae) of Omsk Region Russia. Results of expeditions in 2021-2023. Ecologica Montenegrina. 75: 89-97""",2024
REF31,"""Anikin V. Shchurov V. (2001). Casebearers from Caucasus (Lepidoptera: Coleophoridae). Zoosystematica Rossica. 10: 171-179""",2001
REF32,"""Arakelian G. (2007). Bougainvillea Looper (Disclisioprocta stellata). Los Angeles County Department of Agricultural Commissioner/Weights and Measures. 1-2""",2007
REF33,"""Areces-Berazain F. (2022). Prays endocarpa (citrus rind borer). CABI Compendium datasheet. """,2022
REF34,"""Argaman Q. Wysoki M. (1991). The flower-eating Gymnoscelis (Lep. Geometridae) in Israel. Tropical Pest Management. 37(2): 185""",1991
REF35,"""Armstrong T. (1959). Swammerdamia caesiella Hbn.(Lepidoptera: Yponomeutidae) a New Pest of Japanese Plum in the Niagara Peninsula Ontario. The Canadian Entomologist. 91(6): 340-345""",1959
REF36,"""Arthur M. (1965). Ecological studies on Polydesma umbricola Boisd. in Hawaii (Lepidoptera: Noctuidae). University of Hawaii (Doctoral dissertation [Honolulu])""",1965
REF37,"""Artigas J. (1994). Entomologia Economica. Insectos de Interes Agricola Forestal Medico y Veterinario (nativos introducidos y susceptibles de ser introducidos) vol II. Universidad de Concepcion. Concepcion Chile. 943pp""",1994
REF38,"""Assaad M. (2023). Ecology and impacts of insect communities on Lebanese cedar Cedrus libani A. Rich. [MSc Thesis Universita degli Studi di Padova]""",2023
REF39,"""Assefa Y. et al. (2006). Phylogeography of Eldana saccharina Walker (Lepidoptera: Pyralidae). Annales de la Societe entomologique de France. 42 (3-4): 331-337""",2006
REF40,"""Assefa Y. et al. (2015). Ecological genetics and host range expansion by Busseola fusca (Lepidoptera: Noctuidae). Environmental Entomology 44(4) 1265-1274""",2015
REF41,"""Atluri J. et al. (2010). Life History and Larval Performance of the Common Tiger Butterfly Danaus genuita Cramer (Lepidoptera Rhopalocera Danaidae). The Bioscan. 5(3): 511-515""",2010
REF42,"""Au M. Wright M. (2022). Ramie Moth Arcte coerula (Lepidoptera: Noctuidae): A New Invasive Pest in Hawaii on Endemic Plants. Proceedings of the Hawaiian Entomological Society. 54: 63-76""",2022
REF43,"""Augustin S. et al. (2009). Monitoring and dispersal of the invading Gracillariidae Cameraria ohridella. Journal of Applied Entomology. 133: 58-66""",2009
REF44,"""Aurelian V. et al. (2012). Small-plot studies comparing pheromone and juice baits for mass-trapping invasive Synanthedon myopaeformis in Canada. Entomologia Experimentalis et Applicata. 145: 102-114""",2012
REF45,"""Austara O. Jones T. (1971). Host list and distribution of lepidopterous defoliators of exotic softwoods in East Africa. East African Agricultural and Forestry Journal. 36(4): 401-413""",1971
REF46,"""Austin K. et al. (2025). TortID - Tortricids of Agricultural Importance to the United States (Lepidoptera: Tortricidae). Identification Technology Program (ITP) USDA/APHIS/PPQ/CPHST Fort Collins CO. Available at: https://idtools.org/tortai""",2025
REF47,"""Austin K. Rubinoff D. (2022). Eleven new records of Lepidoptera in the Hawaiian Islands including corrections to the Hawaii Terrestrial Arthropod Checklist. Bishop Museum Occasional Papers 142 49-74""",2022
REF48,"""Austin K. Rubinoff D. (2023). New records of introduced Lepidoptera in the Hawaiian Islands for the year 2022. Bishop Museum Occasional Papers. 148: 175-184""",2023
REF49,"""Austin K. Rubinoff D. (2024). New records of introduced Lepidoptera in the Hawaiian Islands for the year 2023. Bishop Museum Occasional Papers. 156: 111-121""",2024
REF50,"""Austin K. Rubinoff D. (2025). New records of introduced Lepidoptera in the Hawaiian Islands for the year 2024. Bish. Mus. Occas. Pap 163 3-10""",2025
REF51,"""Australian Government Department of Agriculture Water and Environment (2024). National Priority List of Exotic Environmental Pests Weeds and Diseases Dataset (Public Summary Version 1.0)""",2024
REF52,"""Ayoub M. (1960). Phyllocnistis citrella Stainton a main citrus pest in Saudi Arabia. Bulletin de la Societe entomologique dEgypte (Cairo). 44: 387-391""",1960
REF53,"""Ba-Angood S. (1978). On the biology and food preference of the Citrus leaf miner Phyllocnistis citrella Stainton (Gracilariidae Lepidoptera) in PDR of Yemen. Journal of Applied Entomology. 86(1-4): 53-57""",1978
REF54,"""Ba N. et al. (2019). The legume pod borer Maruca vitrata Fabricius (Lepidoptera: Crambidae) an important insect pest of cowpea: a review emphasizing West Africa. International Journal of Tropical Insect Science. 39: 93-106""",2019
REF55,"""Baars J. (2003). Geographic range impact and parasitism of lepidopteran species associated with the invasive weed Lantana camara in South Africa. Biological Control. 28: 293-301""",2003
REF56,"""Badano D. et al. (2019). Destruction of a protected habitat by an invasive alien species: the case of Cydalima perspectalis (Walker 1859) in the box tree formations of Liguria (North-West Italy) (Lepidoptera: Crambidae). SHILAP Revista de Lepidopterologia. 47(185): 87-95""",2019
REF57,"""Badawy A. (1967). The morphology and biology of Phyllocnistis citrella Stainton. a citrus leaf-miner in the Sudan. Bulletin de la Societe entomologique dEgypte (Cairo). 51: 95-103""",1967
REF58,"""Bagnoli B. et al. (2010). Toscana [Tuscany]. In: Tuta absoluta: Guida alla conoscenza e recenti acquisizioni per una corretta difesa [Tuta absoluta: An Information Guide and Recent Acquisitions for Correct Pest Management] (Ed. Sannino L. and Espinosa B.) pp. 85-87. Edizioni Linformatore Agrario Verona (Italy)""",2010
REF59,"""Bailey P. (1980). An Attempt to Control Oriental Fruit Moth Cydia molesta Busck. By Mass Releases of Macrocentrus ancylivorus Rohwer (Hymenoptera: Braconidae). Australian Journal of Entomology. 18: 211-212""",1980
REF60,"""Bajracharya A. et al. (2016). The first record of South American tomato leaf miner Tuta absoluta (Meyrick 1917) (Lepidoptera: Gelechiidae) in Nepal. JEZS. 4(4): 1359-1363""",2016
REF61,"""Baker A. Stiling P. (2009). Comparing the effects of the exotic cactus-feeding moth Cactoblastis cactorum (Berg) (Lepidoptera: Pyralidae) and the native cactus-feeding moth Melitara prodenialis (Walker) (Lepidoptera: Pyralidae) on two species of Florida Opuntia. Biological Invasions. 11: 619-624""",2009
REF62,"""Baladhiya H. et al. (2018). A review on pink stem borer Sesamia inferens Walker: a threat to cereals. Journal of Entomology and Zoology Studies. 6(3): 1235-1239""",2018
REF63,"""Balbi E. et al. (2020). Evidence for multiple maternal lineages of the invasive pest Helicoverpa armigera in Argentina. Phytoparasitica. 48: 407-413""",2020
REF64,"""Ballesteros-Mejia L. et al. (2011). Projecting the potential invasion of the pink spotted hawkmoth (Agrius cingulata) across Africa. International Journal of Pest Management. 57(2): 153-159""",2011
REF65,"""Banerjee D. et al. (2023). New larval host plants for three butterfly (Lepidoptera Papilionoidea) species from Rahr region of West Bengal India. Journal of Insect Biodiversity and Systematics. 9(1): 67-79""",2023
REF66,"""Baniameri V. et al. (2017). Morphology and biology of the elm leaf-mining moth Bucculatrix ulmifoliae Hering 1931 (Lep.: Bucculatricidae) in Iran. Journal of Entomological Society of Iran 37(2) 213-222""",2017
REF67,"""Baran T. (2003). Scythris buszkoi sp. n. a new species of Scythrididae from Europe (Gelechioidea). Nota Lepidopterologica. 26(3): 89-98""",2003
REF68,"""Barnes M. (2002). A preliminary illustrated catalogue of the larger moths of Jamaica. Available at: http://www.mbarnes.force9.co.uk/jamaicamoths/jamaicahome.htm""",2002
REF69,"""Barnett L. et al. (1999). The moths of the Chagos Archipelago with notes on their biogeography. Journal of Natural History. 33(7): 1021-1038""",1999
REF70,"""Baron T. (2014). Collection records of Noctuoidea and Bombycoidea (Lepidoptera) from a location near Marmaris in South-Western Anatolia Turkey. Esperiana Band. 19: 263-296""",2014
REF71,"""Barrios-Diaz B. et al. (2017). Identificacion de lepidopteros asociados al follaje de encino (Quercus spp.) en el municipio de Tetela de Ocampo Puebla. Folia Entomologica Mexicana. 4: 537-543""",2017
REF72,"""Barrow R. (1972). The bionomics of Ancyclostomia stercorea (zeller): a pod-borer on pigeon pea in Trinidad. [PhD Thesis McGill University Quebec]""",1972
REF73,"""Bashford R. (1978). The biology of the Tree Lucerne MothUresiphita ornithopteralis(Guenee)(Lepidoptera: Pyralidae) in southern Tasmania. The Australian Entomologist. 5(4): 71-76""",1978
REF74,"""Batra S. (1983). Establishment of Hyles Euphorbiae (L.)(Lepidoptera: Sphingidae) in the United States for control of the weedy spurges Euphorbia esula L. and E. cyparissias L. Journal of the New York Entomological Society. 304-311""",1983
REF75,"""Baugnee J. (2014). Parectopa robiniella (Lepidoptera: Gracillariidae) a leafminer of black locust Robinia pseudoacacia new to the Belgian fauna. Phegea. 42(3): 55-57""",2014
REF76,"""Bayram A. Tonga A. (2016). First report of Chilo partellus in Turkey a new invasive maize pest for Europe. Journal of Applied Entomology. 140: 236-240""",2016
REF77,"""Beaumont H. (2018). The occurrence of Garella musculana (Erschov 1874) (Lep.: Nolidae) in eastern Bulgaria. Entomologists Records and Journal of Variation. 130: 315-316""",2018
REF78,"""Becker V. (1994). A new Ectaga Walsingham (Lepidoptera Oecophoridae) from southern South America. Revista Brasileira de Zoologia. 11: 391-394""",1994
REF79,"""Becker V. Miller S. (2002). Large moths of Guana Island British Virgin Islands: a survey of efficient colonizers (Lepidoptera: Sphingidae Notodontidae Noctuidae Arctiidae Geometridae Hyblaeidae Cossidae). Journal of the Lepidopterists Society. 56(1): 9-44""",2002
REF80,"""Becker V. Miller S. (2005). Moths: Lepidoptera. In: Lazell J. (2005). Island: Fact and theory in nature (pp: 303-309). University of California Press""",2005
REF81,"""Beljaev E. et al. (2022). Fauna of the geometrid moths (Lepidoptera Geometridae) of the eastern Sikhote-Alin in the Botchinsky Reserve II. Subfamilies Larentiinae and Sterrhinae and zoogeographical analysis. Amurian Zoological Journal. 14(4): 676-707""",2022
REF82,"""Bella S. (2013). The Box tree moth Cydalima perspectalis (Walker 1859) continues to spread in Southern Europe: new records for Italy (Lepidoptera Pyraloidea Crambidae). Redia. 96: 51-55""",2013
REF83,"""Bella S. Aguiar A. (2020). Non-native insect pests from the Madeira Archipelago (Portugal): new records and further data (Insecta: Orthoptera Hymenoptera). Fragmenta entomologica. 52 (2): 369-376""",2020
REF84,"""Bella S. Ferrauto G. (2005). Presence of Megalorhipida leucodactyla (Lepidoptera Pterophoridae) in Sicily: new report for the Italian fauna and notes on the diffusion of its host plant Boerhavia repens L. ssp. viscosa (Choisy) Maire (Nyctaginaceae). Biological Invasions. 7: 577-587""",2005
REF85,"""Beltran E. (2005). Presencia en Espana de Ypsolopha horridella (Treitschke 1835) Monopis obviella ([Denis and Schiffermuller] 1775) y Aethes kasyi Razowski 1962 (Insecta: Lepidoptera). SHILAP Revista de Lepidopterologia. 33(132): 441-447""",2005
REF86,"""Ben-Yakir D. et al. (2013). Chilo partellus (Swinhoe) (Lepidoptera: Pyralidae) a new invasive species in Israel. Journal of Applied Entomology. 137: 398-400""",2013
REF87,"""Benn M. et al. (1981). A Sex Attractant for Sperchia intractana Walker (Lepidoptera: Tortricidae) in New Zealand. Zeitschrift fur Naturforschung C. 36(1-2): 178-179""",1981
REF88,"""Benyamini D. et al. (2007). First confirmed records of Papilio demoleus (Linnaeus 1758) in Syria with comments on the species appearance in Turkey and the Dominican Republic. News of the Israeli Lepidopterists Society. 24(2) 4-11""",2007
REF89,"""Bernardo U. et al. (2015). Characterization distribution biology and impact on Italian walnut orchards of the invasive North-American leafminer Coptodisca lucifluella (Lepidoptera: Heliozelidae). Bulletin of Entomological Research. 105: 210-224""",2015
REF90,"""Berndt L. et al. (2004). Biology and rearing of Pseudocoremia suavis an endemic looper (Lepidoptera: Geometridae) with a history of outbreaks on exotic conifers. New Zealand Entomologist. 27(1): 73-82""",2004
REF91,"""Berndt L. Allen G. (2010). Biology and pest status of Uraba lugens Walker (Lepidoptera: Nolidae) in Australia and New Zealand. Australian Journal of Entomology. 49: 268-277""",2010
REF92,"""Bertaccini E. Zilli A. (2017). A new species of Typhonia from the Ligurian Alps (Lepidoptera: Psychidae). Fragmenta entomologica. 49(2): 137-144""",2017
REF93,"""Beuzelin J. et al. (2016). Biology and management of the Mexican rice borer (Lepidoptera: Crambidae) in rice in the United States. Journal of Integrated Pest Management. 7(1): 7""",2016
REF94,"""Bidzilya O. (2005). A review of the genus Athrips (Lepidoptera Gelechiidae) in the Palaearctic region. Deutsche Entomologische Zeitschrift. 52(1): 3-72""",2005
REF95,"""Bidzilya O. et al. (2019). An annotated checklist of Gelechiidae (Lepidoptera) of Israel with description of two new species. Zootaxa. 4677(1): 1-68""",2019
REF96,"""Bidzilya O. Li H. (2010). The genus Scrobipalpa Janse (Lepidoptera Gelechiidae) in China with descriptions of 13 new species. Zootaxa. 2513(1): 1-26""",2010
REF97,"""Billeter R. et al. (2003). Distribution and dispersal patterns of the ringlet butterfly (Aphantopus hyperantus) in an agricultural landscape. Bulletin of the Geobotanical Institute ETH 69 45-55""",2003
REF98,"""Biondi A. et al. (2018). Ecology worldwide spread and management of the invasive South American tomato pinworm Tuta absoluta: past present and future. Annual review of entomology. 63(1): 239-258""",2018
REF99,"""Bippus M. (2019). Pyraloidea of Mauritius and neighbouring islands (Lepidoptera). Phelsuma. 27: 36-57""",2019
REF100,"""Bippus M. (2020). Records of Lepidoptera from the Malagasy region with description of new species (Lepidoptera: Tortricidae Noctuidae Alucitidae Choreutidae Euteliidae Gelechiidae Blastobasidae Pterophoridae Tonzidae Tineidae Praydidae Cosmopterigidae Batrachedridae). Phelsuma. 28(2020): 60-100""",2020
REF101,"""Bleszynski S. (1970). A revision of the world species of Chilo Zincken (Lepidoptera: Pyralidae). Bulletin of the British Museum (Natural History) B Entomology. 25(4): 101-195""",1970
REF102,"""Blumberg D. (2008). Review: Date Palm Arthropod Pests and Their Management in Israel. Phytoparasitica. 36(5): 411-448""",2008
REF103,"""Bombi P. (2020). Potential conflict extent between two invasive alien pests Rhynchophorus ferrugineus and Paysandisia archon and the native populations of the Mediterranean fan palm. Journal for Nature Conservation. 58: 125927""",2020
REF104,"""Bond K. (1998). Epiphyas postvittana new to Ireland. Entomologists Record and Journal of Variation. 110: 250""",1998
REF105,"""Bong-Kyu B. et al. (2003). Revision of Tribe Archipini (Tortricidae: Tortricinae) in Northeast China. Journal of Forestry Research 14 93–102""",2003
REF106,"""Bong-Kyu B. et al. (2004). Cymolomia hartigiana (Saxesen 1840)(Lepidoptera: Tortricidae) attacking to Abies nephrolepis max. new to Daxinganling Heilongjiang China. Journal of Forestry Research. 15(1): 67-68""",2004
REF107,"""Borkent C. Greenway L. (1997). Sphinx Moths (Family Sphingidae) In British Columbia: Biological Notes and Field Key Based on Specimens in the Collection at the Royal British Columbia Museum. Royal British Columbia Museum forest renewal BC Report""",1997
REF108,"""Bosman T. Brand J. (1971). Biological studies of the sex pheromone of Kotochalia junodi Heyl.(Lepidoptera: Psychidae) and its partial purification. Journal of the Entomological Society of Southern Africa. 34(1): 73-78""",1971
REF109,"""Bostanci C. et al. (2021). First report of walnut (Juglans regia) pest Garella musculana in Romania. EPPO Bulletin. 51: 293-295""",2021
REF110,"""Boughton A. Pemberton R. (2009). Establishment of an imported natural enemy Neomusotima conspurcatalis (Lepidoptera: Crambidae) against an invasive weed Old World climbing fern Lygodium microphyllum in Florida. Biocontrol Science and Technology. 19(7): 769-772""",2009
REF111,"""Boughton A. Pemberton R. (2012). Biology and reproductive parameters of the brown lygodium moth Neomusotima conspurcatalis-A new biological control agent of Old World climbing fern in Florida. Environmental Entomology. 41(2): 308-316""",2012
REF112,"""Boyes D. et al. (2021). The genome sequence of the sycamore Acronicta aceris (Linnaeus 1758). Wellcome Open Research. 6: 326""",2021
REF113,"""Boyes D. et al. (2022). The genome sequence of the lesser treble-bar moth Aplocera efformata (Guenee 1857). Wellcome Open Research. 7: 303""",2022
REF114,"""Boyes D. et al. (2023). The genome sequence of the Phoenix Eulithis prunata (Linnaeus 1758). Wellcome Open Research. 8: 185""",2023
REF115,"""Boyes D. et al. (2023). The genome sequence of the spruce carpet moth Thera britannica (Turner 1925). Wellcome Open Research. 8: 114""",2023
REF116,"""Braby M. (2000). Butterflies of Australia: their identification biology and distribution. CSIRO publishing. Collingwood Australia""",2000
REF117,"""Braby M. (2013). The Tawny Coster Acraea terpsicore in the Northern Territory a new butterfly for Australia. Nature Territory. Newsletter of the Northern Territory Field Naturalists Club Inc. February 2013: 5""",2013
REF118,"""Braby M. et al. (2014). Host plants biology and distribution of Acraea terpsicore (Linnaeus 1758) (Lepidoptera: Nymphalidae): a new butterfly for northern Australia with potential invasive status. Austral Entomology. 53: 288-297""",2014
REF119,"""Braby M. et al. (2014). Spatial distribution and range expansion of the Tawny Coster butterfly Acraea terpsicore (Linnaeus 1758) (Lepidoptera: Nymphalidae) in South-East Asia and Australia. Insect Conservation Diversity. 7: 132-143""",2014
REF120,"""Bradley J. (1956). Records and descriptions of microlepidoptera from Lord Howe Island and Norfolk Island collected by the British Museum (Natural History) Rennell Island Expedition 1953. Bulletin of the British Museum (Natural History) - Entomology Series. 4(4): 143-164""",1956
REF121,"""Bradley J. (1986). Identity of the South-East Asian cocoa moth Conopomorpha cramerella (Snellen)(Lepidoptera: Gracillariidae) with descriptions of three allied new species. Bulletin of Entomological Research. 76(1): 41-51""",1986
REF122,"""Bras A. et al. (2022). The fast invasion of Europe by the box tree moth: an additional example coupling multiple introduction events bridgehead effects and admixture events. Biological Invasions. 24: 3865-3883""",2022
REF123,"""Braun A. (1908). Revision of the North American species of the genus Lithocolletis Hubner. Biological Laboratory of the University of Cincinnati. Cincinnati United States of America""",1908
REF124,"""Brevault T. et al. (2018). First records of the fall armyworm Spodoptera frugiperda (Lepidoptera: Noctuidae) in Senegal. Entomologia Generalis. 37(2): 129-142""",2018
REF125,"""Brito R. et al. (2019). Spodoptera marima: a new synonym of Spodoptera ornithogalli (Lepidoptera: Noctuidae) with notes on adult morphology host plant use and genetic variation along its geographic range. Neotropical Entomology. 48: 433-448""",2019
REF126,"""Broad G. et al. (2024). The genome sequence of Langmaids Yellow Underwing moth Noctua janthina (Denis & Schiffermuller) 1775. Wellcome Open Research. 9: 592""",2024
REF127,"""Broad G. et al. (2024). The genome sequence of the Marbled Minor moth Oligia strigilis (Linnaeus 1758). Wellcome Open Research. 9: 282""",2024
REF128,"""Broadley H. et al. (2018). Identification and impact of hyperparasitoids and predators affecting Cyzenis albicans (Tachinidae) a recently introduced biological control agent of winter moth (Operophtera brumata L.) in the northeastern U.S.A. Biological Control. 121: 99-108""",2018
REF129,"""Brou Jr V. Brou C. (2020). Noctua pronuba (Linnaeus)(Lepidoptera: Noctuidae in Louisiana. Southern Lepidoptera News. 42: 329-330""",2020
REF130,"""Brou Jr V. Brou C. (2022). Abita Entomological Study Site. Southern Lepidopterists News. 44(5): 409-460""",2022
REF131,"""Brower A. (1994). Rapid morphological radiation and convergence among races of the butterfly Heliconius erato inferred from patterns of mitochondrial DNA evolution. PNAS. 91(14): 6491-6495""",1994
REF132,"""Brown E. Dewhurst C. (1975). The genus Spodoptera (Lepidoptera Noctuidae) in Africa and the near east. Bulletin of Entomological Research. 65(2): 221-262""",1975
REF133,"""Brown J. (1990). New species and first US record of Auratonota (Lepidoptera: Tortricidae). Florida Entomologist. 73(1): 153-157""",1990
REF134,"""Brown J. (2008). Review of the Neotropical genus Cacocharis Walsingham (Lepidoptera: Tortricidae: Olethreutini) with a new synonymy and comments on its host plants and geographic distribution. Proceedings of the Entomological Society of Washington 110(3) 533-542""",2008
REF135,"""Brown J. et al. (2010). Biology Identification and History of the Light Brown Apple Moth Epiphyas postvittana (Walker) (Lepidoptera: Tortricidae: Archipini) in California: An Example of the Importance of Local Faunal Surveys to Document the Establishment of Exotic Insects. American Entomologist. 56(1): 34-43""",2010
REF136,"""Brown J. et al. (2011). Tortricid moths reared from the invasive weed Mexican palo verde Parkinsonia aculeata with comments on their host specificity biology geographic distribution and systematics. Journal of Insect Science. 11: 7""",2011
REF137,"""Buckingham G. Bennett C. (1989). Laboratory host range of Parapoynx diminutalis (Lepidoptera: Pyralidae) an Asian aquatic moth adventive in Florida and Panama on Hydrilla verticillata (Hydrocharitaceae). Environmental Entomology. 18(3): 526-530""",1989
REF138,"""Buckingham G. Bennett C. (1996). Laboratory biology of an immigrant Asian moth Parapoynx diminutalis (Lepidoptera: Pyralidae) on Hydrilla verticillata (Hydrocharitaceae). Florida Entomologist. 79(3): 353-353""",1996
REF139,"""Budashkin Y. Li H. (2009). Study on Chinese Acrolepiidae and Choreutidae (Insecta: Lepidoptera). SHILAP Revista de lepidopterologia. 37(146): 179-189""",2009
REF140,"""Buden D. Tennent W. (2017). New records of butterflies (Lepidoptera) from the Federated States of Micronesia with remarks on geographic variation in Hypolimnas bolina (Linnaeus). Pacific Science. 71(1): 83-90""",2017
REF141,"""Bullock R. (1989). Native Ithome lassula (Lepidoptera: Cosmopterigidae) attacks Leucaena in Florida. The Florida Entomologist. 72(3): 548-550""",1989
REF142,"""Burghardt K. et al. (2010). Non-native plants reduce abundance richness and host specialization in lepidopteran communities. Ecosphere. 1(15): 11""",2010
REF143,"""Burns J. (1966). Expanding distribution and evolutionary potential of Thymelicus lineola (Lepidoptera: Hesperiidae) an introduced skipper with special reference to its appearance in British Columbia. The Canadian Entomologist. 98(8): 859-866""",1966
REF144,"""Burton J. (2003). The apparent influence of climatic change on recent changes of range by European insects (Lepidoptera Orthoptera). Proceedings of the 13th International colloquium European Invertebrate Survey. Leiden September 2001: pp. 13-21""",2003
REF145,"""Bury J. et al. (2019). First records of the invasive box tree moth Cydalima perspectalis (Walker 1859) (Lepidoptera: Crambidae) in south-eastern Poland. Fragmenta Faunistica. 60(2): 101-106""",2019
REF146,"""Buthelezi N. et al. (2012). The groundnut leaf miner collected from South Africa is identified by mtDNA CO1 gene analysis as the Australian soybean moth (Aproaerema simplixella)(Walker)(Lepidoptera: Gelechiidae). African Journal of Agricultural Research. 7(38): 5285-5292""",2012
REF147,"""Buthelezi N. et al. (2016). Molecular and behavioural evidence suggesting a re-examination of the taxonomy of Aproaerema simplexella (Walker) Aproaerema modicella (Deventer) and Stomopteryx subsecivella Zeller (Lepidoptera: Gelechiidae). African Entomology. 24(1): 16-23""",2016
REF148,"""Byun B. (2011). A review of the genus Spilonota Stephens (Lepidoptera: Tortricidae) in North Korea. Entomological Research. 41(6): 242-246""",2011
